21:15:50: Account aaa has been created.
21:16:32: aaa has logged in from 127.0.0.1.
21:16:42: Character DEV Gileijah added to aaa's account.
21:17:12: aaa has logged in from 127.0.0.1.
21:17:23: aaa/DEV Gileijah has began playing .
21:33:12: aaa has logged in from 127.0.0.1.
21:33:21: Character Gil added to aaa's account.
21:33:26: aaa/Gil has began playing .
21:33:56: aaa has logged in from 127.0.0.1.
21:33:58: aaa/DEV Gileijah has began playing .
21:35:47: aaa has logged in from 127.0.0.1.
21:35:50: aaa/DEV Gileijah has began playing .
21:39:29: aaa has logged in from 127.0.0.1.
21:39:31: aaa/DEV Gileijah has began playing .
21:42:57: aaa has logged in from 127.0.0.1.
21:43:00: aaa/Gil has began playing .
21:48:21: aaa has logged in from 127.0.0.1.
21:48:25: aaa/DEV Gileijah has began playing .
21:49:20: aaa has logged in from 127.0.0.1.
21:49:22: aaa/Gil has began playing .
21:50:16: aaa has logged in from 127.0.0.1.
21:50:18: aaa/DEV Gileijah has began playing .
22:01:06: aaa has logged in from 127.0.0.1.
22:01:08: aaa/Gil has began playing .
22:04:51: aaa has logged in from 127.0.0.1.
22:04:52: aaa/DEV Gileijah has began playing .
22:12:23: aaa has logged in from 127.0.0.1.
22:12:32: aaa/DEV Gileijah has began playing .
22:16:31: aaa has logged in from 127.0.0.1.
22:16:33: aaa/DEV Gileijah has began playing .
22:18:45: aaa has logged in from 127.0.0.1.
22:18:46: aaa/DEV Gileijah has began playing .
22:30:54: aaa has logged in from 127.0.0.1.
22:31:01: aaa/DEV Gileijah has began playing .
22:45:45: aaa has logged in from 127.0.0.1.
22:45:47: aaa/DEV Gileijah has began playing .
22:48:36: aaa has logged in from 127.0.0.1.
22:48:41: aaa/Gil has began playing .
23:08:43: aaa has logged in from 127.0.0.1.
23:08:45: aaa/DEV Gileijah has began playing .
23:10:05: aaa has logged in from 127.0.0.1.
23:10:08: aaa/DEV Gileijah has began playing .
23:11:01: aaa has logged in from 127.0.0.1.
23:11:03: aaa/DEV Gileijah has began playing .
23:18:10: aaa has logged in from 127.0.0.1.
23:18:11: aaa/DEV Gileijah has began playing .
23:19:48: aaa has logged in from 127.0.0.1.
23:19:49: aaa/DEV Gileijah has began playing .
23:21:37: aaa has logged in from 127.0.0.1.
23:21:39: aaa/DEV Gileijah has began playing .
23:22:26: aaa has logged in from 127.0.0.1.
23:22:28: aaa/DEV Gileijah has began playing .
23:34:45: aaa has logged in from 127.0.0.1.
23:34:48: aaa/DEV Gileijah has began playing .
23:38:00: aaa has logged in from 127.0.0.1.
23:38:02: aaa/DEV Gileijah has began playing .
23:39:39: aaa has logged in from 127.0.0.1.
23:39:41: aaa/DEV Gileijah has began playing .
23:40:08: aaa has logged in from 127.0.0.1.
23:40:10: aaa/DEV Gileijah has began playing .
23:43:31: aaa has logged in from 127.0.0.1.
23:43:32: aaa/DEV Gileijah has began playing .
23:55:47: aaa has logged in from 127.0.0.1.
23:55:48: aaa/DEV Gileijah has began playing .
23:56:40: aaa has logged in from 127.0.0.1.
23:56:41: aaa/DEV Gileijah has began playing .
00:00:31: aaa has logged in from 127.0.0.1.
00:00:32: aaa/DEV Gileijah has began playing .
00:00:56: aaa has logged in from 127.0.0.1.
00:00:58: aaa/DEV Gileijah has began playing .
00:02:34: aaa has logged in from 127.0.0.1.
00:02:36: aaa/DEV Gileijah has began playing .
00:37:38: aaa has logged in from 127.0.0.1.
00:37:40: aaa/DEV Gileijah has began playing .
17:58:02: aaa has logged in from 127.0.0.1.
17:58:06: aaa/DEV Gileijah has began playing .
18:02:38: aaa has logged in from 127.0.0.1.
18:02:40: aaa/DEV Gileijah has began playing .
18:07:49: aaa has logged in from 127.0.0.1.
18:07:51: aaa/DEV Gileijah has began playing .
18:16:25: aaa has logged in from 127.0.0.1.
18:16:26: aaa/DEV Gileijah has began playing .
18:31:10: aaa has logged in from 127.0.0.1.
18:31:13: aaa/DEV Gileijah has began playing .
18:34:23: aaa has logged in from 127.0.0.1.
18:34:24: aaa/DEV Gileijah has began playing .
23:13:22: aaa has logged in from 127.0.0.1.
23:13:25: aaa/DEV Gileijah has began playing .
23:22:16: aaa has logged in from 127.0.0.1.
23:22:18: aaa/Gil has began playing .
23:22:44: aaa has logged in from 127.0.0.1.
23:22:48: aaa/DEV Gileijah has began playing .
23:23:37: aaa has logged in from 127.0.0.1.
23:23:39: aaa/Gil has began playing .
23:24:28: aaa has logged in from 127.0.0.1.
23:24:30: aaa/DEV Gileijah has began playing .
23:29:36: aaa has logged in from 127.0.0.1.
23:29:40: aaa/DEV Gileijah has began playing .
23:34:44: aaa has logged in from 127.0.0.1.
23:34:47: aaa/Gil has began playing .
23:35:34: aaa has logged in from 127.0.0.1.
23:35:38: aaa/DEV Gileijah has began playing .
23:36:50: aaa has logged in from 127.0.0.1.
23:37:00: aaa/Gil has began playing .
00:14:06: aaa has logged in from 127.0.0.1.
00:14:12: aaa/DEV Gileijah has began playing .
04:07:58: aaa has logged in from 127.0.0.1.
04:08:00: aaa/DEV Gileijah has began playing .
22:42:40: aaa has logged in from 127.0.0.1.
22:42:44: aaa/DEV Gileijah has began playing .
23:18:20: aaa has logged in from 127.0.0.1.
23:18:21: aaa/DEV Gileijah has began playing .
23:21:15: aaa has logged in from 127.0.0.1.
23:21:17: aaa/DEV Gileijah has began playing .
23:25:16: aaa has logged in from 127.0.0.1.
23:25:18: aaa/DEV Gileijah has began playing .
23:26:37: aaa has logged in from 127.0.0.1.
23:26:38: aaa/DEV Gileijah has began playing .
23:26:59: aaa has logged in from 127.0.0.1.
23:27:01: aaa/DEV Gileijah has began playing .
23:32:20: aaa has logged in from 127.0.0.1.
23:32:21: aaa/DEV Gileijah has began playing .
23:48:42: aaa has logged in from 127.0.0.1.
23:48:45: aaa/DEV Gileijah has began playing .
23:51:54: aaa has logged in from 127.0.0.1.
23:51:56: aaa/DEV Gileijah has began playing .
23:53:50: aaa has logged in from 127.0.0.1.
23:53:51: aaa/DEV Gileijah has began playing .
00:06:59: aaa has logged in from 127.0.0.1.
00:07:00: aaa/DEV Gileijah has began playing .
00:11:24: aaa has logged in from 127.0.0.1.
00:11:26: aaa/DEV Gileijah has began playing .
00:37:38: aaa has logged in from 127.0.0.1.
00:37:43: aaa/DEV Gileijah has began playing .
00:39:44: aaa has logged in from 127.0.0.1.
00:39:45: aaa/DEV Gileijah has began playing .
00:42:03: aaa has logged in from 127.0.0.1.
00:42:05: aaa/DEV Gileijah has began playing .
00:45:20: aaa has logged in from 127.0.0.1.
00:45:23: aaa/DEV Gileijah has began playing .
00:49:51: aaa has logged in from 127.0.0.1.
00:49:54: aaa/DEV Gileijah has began playing .
03:05:15: aaa has logged in from 127.0.0.1.
03:05:18: aaa/DEV Gileijah has began playing .
