4:56:02 PM: Account Balmung has been created.
4:56:06 PM: Balmung has logged in from 127.0.1.0.
4:56:15 PM: Character Balmung added to Balmung's account.
4:56:57 PM: Balmung has logged in from 127.0.1.0.
4:56:57 PM: Balmung/Balmung has began playing TORPGE X.
5:04:20 PM: Balmung has logged in from 127.0.1.0.
5:04:21 PM: Balmung/Balmung has began playing TORPGE X.
5:05:10 PM: Balmung has logged in from 127.0.1.0.
5:05:11 PM: Balmung/Balmung has began playing TORPGE X.
5:11:00 PM: Balmung has logged in from 127.0.1.0.
5:11:03 PM: Balmung/Balmung has began playing TORPGE X.
5:12:16 PM: Balmung has logged in from 127.0.1.0.
5:12:20 PM: Balmung/Balmung has began playing TORPGE X.
5:14:13 PM: Balmung has logged in from 127.0.1.0.
5:14:14 PM: Balmung/Balmung has began playing TORPGE X.
6:04:49 PM: Balmung has logged in from 127.0.1.0.
6:04:50 PM: Balmung/Balmung has began playing TORPGE X.
6:09:20 PM: Balmung has logged in from 127.0.1.0.
6:09:21 PM: Balmung/Balmung has began playing TORPGE X.
6:11:00 PM: Balmung has logged in from 127.0.1.0.
6:11:01 PM: Balmung/Balmung has began playing TORPGE X.
7:12:09 PM: Balmung has logged in from 127.0.1.0.
7:12:10 PM: Balmung/Balmung has began playing TORPGE X.
9:01:25 PM: Balmung has logged in from 127.0.1.0.
9:01:27 PM: Balmung/Balmung has began playing TORPGE X.
9:04:34 PM: Balmung has logged in from 127.0.1.0.
9:04:35 PM: Balmung/Balmung has began playing TORPGE X.
9:09:12 PM: Balmung has logged in from 127.0.1.0.
9:09:15 PM: Balmung/Balmung has began playing TORPGE X.
3:58:21 PM: Balmung has logged in from 127.0.1.0.
3:58:23 PM: Balmung/Balmung has began playing TORPGE X.
4:03:59 PM: Balmung has logged in from 127.0.1.0.
4:04:00 PM: Balmung/Balmung has began playing TORPGE X.
4:06:22 PM: Balmung has logged in from 127.0.1.0.
4:06:23 PM: Balmung/Balmung has began playing TORPGE X.
4:07:15 PM: Balmung has logged in from 127.0.1.0.
4:07:16 PM: Balmung/Balmung has began playing TORPGE X.
4:09:23 PM: Balmung has logged in from 127.0.1.0.
4:09:27 PM: Balmung/Balmung has began playing TORPGE X.
4:10:59 PM: Balmung has logged in from 127.0.1.0.
4:11:00 PM: Balmung/Balmung has began playing TORPGE X.
4:14:04 PM: Balmung has logged in from 127.0.1.0.
4:14:08 PM: Balmung/Balmung has began playing TORPGE X.
4:15:01 PM: Balmung has logged in from 127.0.1.0.
4:15:03 PM: Balmung/Balmung has began playing TORPGE X.
5:27:44 PM: Balmung has logged in from 127.0.1.0.
5:27:45 PM: Balmung/Balmung has began playing TORPGE X.
5:30:59 PM: Balmung has logged in from 127.0.1.0.
5:31:03 PM: Balmung/Balmung has began playing TORPGE X.
5:33:36 PM: Balmung has logged in from 127.0.1.0.
5:33:37 PM: Balmung/Balmung has began playing TORPGE X.
5:40:15 PM: Balmung has logged in from 127.0.1.0.
5:41:07 PM: Balmung has logged in from 127.0.1.0.
5:41:08 PM: Balmung/Balmung has began playing TORPGE X.
5:42:52 PM: Balmung has logged in from 127.0.1.0.
5:42:53 PM: Balmung/Balmung has began playing TORPGE X.
5:46:58 PM: Balmung has logged in from 127.0.1.0.
5:46:59 PM: Balmung/Balmung has began playing TORPGE X.
10:48:44 PM: Balmung has logged in from 127.0.1.0.
10:48:46 PM: Balmung/Balmung has began playing TORPGE X.
10:50:37 PM: Balmung has logged in from 127.0.1.0.
10:50:38 PM: Balmung/Balmung has began playing TORPGE X.
10:51:34 PM: Balmung has logged in from 127.0.1.0.
10:51:35 PM: Balmung/Balmung has began playing TORPGE X.
10:52:42 PM: Balmung has logged in from 127.0.1.0.
10:52:42 PM: Balmung/Balmung has began playing TORPGE X.
10:53:25 PM: Balmung has logged in from 127.0.1.0.
10:53:26 PM: Balmung/Balmung has began playing TORPGE X.
11:09:33 PM: Balmung has logged in from 127.0.1.0.
11:09:34 PM: Balmung/Balmung has began playing TORPGE X.
11:11:22 PM: Balmung has logged in from 127.0.1.0.
11:11:23 PM: Balmung/Balmung has began playing TORPGE X.
11:12:14 PM: Balmung has logged in from 127.0.1.0.
11:12:15 PM: Balmung/Balmung has began playing TORPGE X.
11:13:02 PM: Balmung has logged in from 127.0.1.0.
11:13:03 PM: Balmung/Balmung has began playing TORPGE X.
11:17:09 PM: Balmung has logged in from 127.0.1.0.
11:17:10 PM: Balmung/Balmung has began playing TORPGE X.
11:28:14 PM: Balmung has logged in from 127.0.1.0.
11:28:15 PM: Balmung/Balmung has began playing TORPGE X.
11:29:11 PM: Balmung has logged in from 127.0.1.0.
11:29:12 PM: Balmung/Balmung has began playing TORPGE X.
11:39:21 PM: Balmung has logged in from 127.0.1.0.
11:39:22 PM: Balmung/Balmung has began playing TORPGE X.
11:40:26 PM: Balmung has logged in from 127.0.1.0.
11:40:27 PM: Balmung/Balmung has began playing TORPGE X.
11:44:14 PM: Balmung has logged in from 127.0.1.0.
11:44:15 PM: Balmung/Balmung has began playing TORPGE X.
11:44:50 PM: Balmung has logged in from 127.0.1.0.
11:44:51 PM: Balmung/Balmung has began playing TORPGE X.
11:45:51 PM: Balmung has logged in from 127.0.1.0.
11:45:52 PM: Balmung/Balmung has began playing TORPGE X.
11:47:08 PM: Balmung has logged in from 127.0.1.0.
11:47:09 PM: Balmung/Balmung has began playing TORPGE X.
12:10:48 AM: Balmung has logged in from 127.0.1.0.
12:10:49 AM: Balmung/Balmung has began playing TORPGE X.
12:38:04 AM: Balmung has logged in from 127.0.1.0.
12:38:07 AM: Balmung/Balmung has began playing TORPGE X.
12:41:17 AM: Balmung has logged in from 127.0.1.0.
12:41:18 AM: Balmung/Balmung has began playing TORPGE X.
12:44:35 AM: Balmung has logged in from 127.0.1.0.
12:44:37 AM: Balmung/Balmung has began playing TORPGE X.
2:11:42 AM: Balmung has logged in from 127.0.1.0.
2:12:45 AM: Balmung/Balmung has began playing TORPGE X.
8:24:52 AM: Balmung has logged in from 127.0.1.0.
8:24:54 AM: Balmung/Balmung has began playing TORPGE X.
8:43:08 AM: Balmung has logged in from 127.0.1.0.
8:43:10 AM: Balmung/Balmung has began playing TORPGE X.
8:45:46 AM: Balmung has logged in from 127.0.1.0.
8:45:47 AM: Balmung/Balmung has began playing TORPGE X.
8:46:07 AM: Account Mustang has been created.
8:46:14 AM: Mustang has logged in from 127.0.1.0.
8:46:23 AM: Character Mustang added to Mustang's account.
8:46:25 AM: Mustang/Mustang has began playing TORPGE X.
5:31:59 PM: Mustang has logged in from 127.0.1.0.
5:32:16 PM: Balmung/Balmung has began playing TORPGE X.
5:32:18 PM: Balmung has logged in from 127.0.1.0.
5:33:51 PM: Balmung has logged in from 127.0.1.0.
5:33:53 PM: Balmung/Balmung has began playing TORPGE X.
5:42:10 PM: Balmung has logged in from 127.0.1.0.
5:42:15 PM: Balmung/Balmung has began playing TORPGE X.
10:21:35 PM: Balmung has logged in from 127.0.0.1.
10:21:49 PM: Account alpha has been created.
10:24:41 PM: Account beta has been created.
10:24:55 PM: beta has logged in from 127.0.0.1.
10:25:08 PM: Character alpha added to beta's account.
10:25:23 PM: Character beta added to beta's account.
10:25:37 PM: beta has logged in from 127.0.0.1.
10:27:53 PM: beta has logged in from 127.0.0.1.
10:33:50 PM: beta has logged in from 127.0.0.1.
10:33:57 PM: Balmung has logged in from 127.0.0.1.
10:34:07 PM: Balmung/Balmung has began playing TORPGE X.
10:57:30 PM: Balmung has logged in from 127.0.0.1.
10:57:36 PM: Balmung/Balmung has began playing TORPGE X.
11:13:16 PM: Balmung has logged in from 127.0.0.1.
11:13:20 PM: Balmung/Balmung has began playing TORPGE X.
4:49:22 PM: Balmung has logged in from 127.0.0.1.
4:50:06 PM: Balmung/Balmung has began playing TORPGE X.
4:52:53 PM: Balmung has logged in from 127.0.0.1.
4:52:58 PM: Balmung/Balmung has began playing TORPGE X.
4:54:15 PM: Balmung has logged in from 127.0.0.1.
